ID,hamming_cluster
20050112042460,1
20150807151287,4
20031110031627,1
20150403151566,1
20160604160548,4
20170505170606,1
20071110072258,1
20110402111237,1
20140302141299,4
20180302180141,1
20170504170705,1
20170201170131,1
20161110161852,4
20120706122139,4
20061110061454,2
20110302112175,4
20060706061779,1
20091010091564,4
20160504160904,4
20160303161014,1
20050403050115,3
20030907032111,2
20071110072127,4
20050504052176,4
20101211100057,4
20130705130669,1
20160404161130,4
20130403131133,4
20090908090521,1
20170403172251,4
20060101061740,4
20081211082239,1
20061010061535,1
20150706152188,1
20140909142134,4
20101110101414,4
20130807130739,4
20151111151670,1
20161009161092,3
20110101111334,1
20140201141537,1
20121212121231,4
20160503161356,1
20150112142477,4
20060504061521,4
20051009050083,4
20150302150547,1
20050908052284,4
20080807081266,1
20101009102059,1
20120302120510,1
20180907180678,1
20070908071966,4
20161211161363,1
20040403040836,1
20161110160526,1
20031009032623,4
20070807071331,1
20100908102083,3
20081211081594,4
20070201071112,1
20101010100876,1
20161109161914,3
20130605132446,4
20060705061704,1
20181211182260,1
20161009160702,1
20071211071383,1
20170403170610,1
20040806042546,4
20031110030102,4
20090402091142,1
20130908132074,4
20151110152172,4
20071009071916,4
20100605101936,4
20170504171018,4
20070908072321,1
20100504101701,4
20070807070726,1
20160112151849,1
20140907141340,1
20170706172474,4
20040201041653,1
20080908082447,1
20121008122515,4
20050403051803,1
20050706051449,4
20081211081362,1
20091110091834,2
20060402062433,4
20070303071714,1
20110403110714,1
20040705041842,1
20030706031867,4
20130111120738,1
20131211130744,4
20131009131576,1
20120201120762,1
20050707050642,1
20120112112303,4
20070908071141,1
20101009101760,1
20110504112162,1
20120806121124,2
20100302100994,1
20041212042149,4
20120907121839,4
20091211092095,1
20040605042162,4
20160706160947,1
20110605111654,4
20180403181079,4
20031110032113,1
20070808072001,4
20161009160755,3
20100604100100,1
20150504152136,3
20140605142076,2
20070202072346,4
20081109081680,1
20160504161918,4
20110403112362,4
20050807051707,1
20050706050612,1
20081212080149,4
20090907090643,1
20090403092140,4
20130302130501,4
20061109061176,1
20160707162044,4
20150302151345,4
20130504131694,4
20110807110555,1
20180605182458,4
20180302180141,1
20130908131014,4
20080112070161,1
20120505120079,1
20070908071365,1
20131110131805,4
20150505151330,4
20150706152156,4
20080404080133,4
20031211032421,1
20050504051509,1
20140909142446,4
20040302042064,1
20040503041879,4
20080706080852,1
20171010172139,1
20131008131957,2
20161210162466,1
20051111050649,4
20110504111980,1
20171211172151,3
20100301101634,1
20070101070048,1
20030111020890,1
20081110082078,1
20170302172280,4
20120302120987,4
20170504172045,1
20070807072056,4
20150807150783,4
20180212170905,4
20120212111485,1
20110112100039,4
20090908090542,4
20111211111985,1
20100605100820,4
20070302070565,4
20070707070847,4
20180503181607,1
20150605150023,1
20151211150126,4
20171211172212,4
20150807150868,4
20170604171395,1
20030403031874,1
20150101151291,4
20130101131043,1
20071010070050,4
20120605121418,2
20181110181607,1
20090201092345,4
20080907081512,1
20101009102059,1
20181110181251,1
20070605071808,1
20120807122375,1
20060606060085,1
20101211101650,1
20140908141377,4
20130404130129,4
20071009071234,3
20080606081990,4
20181010180022,4
20170604171872,4
20040302042054,1
20140504141295,4
20050707052056,4
20070111061840,4
20040111033136,4
20060807061126,4
20140403141096,1
20170807171845,4
20080403082304,1
20140504142359,2
20060111050737,1
20131110132071,1
20140303141371,4
20091009092125,4
20130605131345,1
20121109121442,2
20161110160851,4
20120201121760,4
20170112161216,4
20040808042100,4
20051210052387,1
20070101072198,4
20130808132086,2
20140606141929,4
20060403061416,1
20140503140761,4
20150605151690,4
20120908122019,4
20180807180642,4
20151211151198,1
20041212041876,4
20080112071525,1
20060201062510,1
20080302082043,3
20150706152217,1
20121110122394,4
20150402152307,4
20091109091889,4
20110807112071,4
20150302150912,4
20101009101767,2
20050302052491,3
20090808090892,4
20060112052482,1
20061211061136,1
20060908062210,1
20071109072158,4
20060302062221,4
20030807032362,2
20061211061200,4
20101009101346,4
20160201162389,4
20160807161770,4
20100604101660,4
20070706070765,1
20090808090162,4
20091009092364,3
20180909181180,1
20181110182154,4
20160403160604,4
20080504080638,4
20130807132096,4
20110706112238,4
20170504172484,2
20050706050893,1
20170201170785,1
20050212041470,4
20181010181533,4
20061108061041,1
20150908150959,2
20140202140830,1
20070808070965,1
20120201120502,1
20130605131950,1
20101110101715,4
20110908111584,1
20060504060730,4
20181110180529,4
20180201180594,4
20170807170670,4
20130606131929,1
