ID,lv_cluster
20060302062260,4
20070302072279,4
20060706061437,4
20150302151445,3
20150807150502,4
20090112082296,3
20130403132229,2
20050403051259,1
20101109101751,3
20120908120030,3
20170907170582,3
20130402131403,3
20070101071197,4
20161009160020,2
20130302130912,3
20090303092260,5
20101110102274,3
20040504041053,4
20031211031804,4
20131212132370,4
20150302152072,5
20150606152383,2
20040403040048,3
20180302181597,3
20090806091539,3
20171211171192,4
20110807111955,3
20140301141389,4
20081009081028,3
20120112111767,4
20050908050707,1
20031110032672,4
20170807170036,3
20151211151594,3
20181212182254,3
20081110081629,4
20110808110145,3
20080807081579,4
20050402051006,3
20170807171809,2
20080504081233,4
20120112110820,4
20170112161127,2
20101110100845,4
20140201141873,1
20091110092459,4
20090605090934,3
20061211060530,4
20100605100650,4
20130805132311,4
20100706102259,5
20061009060003,4
20170404170974,3
20081009080502,4
20170807171963,4
20070908072316,4
20130807131215,4
20140706142008,4
20180706181087,4
20120908121992,3
20100403100712,4
20100201101615,4
20050201050035,5
20150707151067,4
20140201142066,3
20100112091702,3
20131009131076,3
20140112131974,4
20060605061440,4
20051211050007,3
20170404171389,4
20071110071933,3
20160909161030,4
20131110131181,3
20050808052158,5
20121010122427,3
20130706131262,4
20081110081365,3
20070403072449,3
20110302112096,3
20070605072594,3
20160112152086,4
20081009080643,4
20170101170806,4
20121211122331,5
20161210160658,4
20030302031896,4
20041008041003,4
20121009120898,1
20080908081609,1
20060504060979,3
20160403160786,4
20120201121380,4
20150403150797,3
20160808160554,3
20140909141024,4
20180303180036,1
20110907112272,4
20140302141120,4
20160807160688,4
20180302181447,4
20090706091704,4
20120201121447,4
20140807140034,3
20071009070755,4
20071110070115,4
20180112171818,4
20130504131643,3
20100706101584,3
20150706151821,3
20070402070134,5
20171008170744,4
20140101140028,2
20031211032827,4
20120101121101,5
20150807150604,3
20070403070571,5
20030302031095,3
20030403033496,4
20080403080716,1
20041210040801,4
20150606151916,1
20140504141525,3
20120707121004,3
20091211092356,2
20040112033023,5
20120706122142,4
20090706091562,4
20140908141636,4
20111212110734,3
20120605122282,3
20140604141653,3
20140908142111,1
20070908071179,3
20160706162103,4
20140808140104,4
20110201111900,3
20080302081988,1
20100504100906,3
20070503071748,1
20050101051853,3
20141211141571,3
20111009112337,4
20060403061446,3
20100605100916,4
20120807120001,3
20100605102325,5
20070302071274,4
20030808032269,3
20121211121874,3
20140403141567,1
20040605041801,3
20060403060610,4
20061209061942,4
20060605061358,4
20060201062565,3
20071010070542,3
20070302071833,4
20050302050560,4
20140706140818,5
20090403091976,4
20051211052313,3
20070504072362,4
20150403151570,4
20090112080748,4
20050807052491,4
20050807052510,4
20121110120538,4
20080605081165,2
20030112022442,1
20060302062018,3
20080707081887,3
20081009081434,4
20050908050875,3
20130201130890,2
20060807061663,4
20110606111696,3
20160403161876,4
20171211172462,3
20101110101087,4
20040605042190,2
20050806052039,3
20181211180506,4
20060707062461,5
20091010091602,3
20040302041703,3
20061110062251,1
20091009091604,4
20180605181201,3
20080807081473,4
20040302041774,4
20151109152083,4
20180503180870,2
20170112161291,1
20070302071220,4
20050201051566,3
20110808111417,2
20090707091395,3
20160605160949,4
20100807102538,5
20141211140560,4
20110112101252,4
20100605101838,3
20160212152404,3
20070302070948,4
20040112032373,4
20141210141295,4
20120403122174,3
20080909082417,5
20150302152210,4
20120403121822,4
20080212070803,4
20080605080920,3
20171211171412,4
20090504091986,3
20170806172378,2
20070706071913,4
20041010042532,3
20130706131304,2
