ID,lv_cluster
20060302062260,5
20070302072279,5
20060706061437,5
20150302151445,4
20150807150502,5
20090112082296,4
20130403132229,2
20050403051259,1
20101109101751,4
20120908120030,4
20170907170582,4
20130402131403,4
20070101071197,5
20161009160020,2
20130302130912,4
20090303092260,6
20101110102274,4
20040504041053,5
20031211031804,5
20131212132370,5
20150302152072,6
20150606152383,2
20040403040048,4
20180302181597,4
20090806091539,4
20171211171192,5
20110807111955,4
20140301141389,5
20081009081028,4
20120112111767,5
20050908050707,1
20031110032672,5
20170807170036,4
20151211151594,4
20181212182254,4
20081110081629,5
20110808110145,4
20080807081579,5
20050402051006,4
20170807171809,2
20080504081233,5
20120112110820,5
20170112161127,2
20101110100845,5
20140201141873,1
20091110092459,5
20090605090934,3
20061211060530,5
20100605100650,5
20130805132311,5
20100706102259,6
20061009060003,5
20170404170974,4
20081009080502,5
20170807171963,5
20070908072316,5
20130807131215,5
20140706142008,5
20180706181087,5
20120908121992,4
20100403100712,5
20100201101615,5
20050201050035,6
20150707151067,5
20140201142066,4
20100112091702,4
20131009131076,4
20140112131974,5
20060605061440,5
20051211050007,4
20170404171389,5
20071110071933,4
20160909161030,5
20131110131181,4
20050808052158,6
20121010122427,4
20130706131262,5
20081110081365,4
20070403072449,4
20110302112096,4
20070605072594,4
20160112152086,5
20081009080643,5
20170101170806,5
20121211122331,6
20161210160658,5
20030302031896,5
20041008041003,5
20121009120898,1
20080908081609,1
20060504060979,4
20160403160786,5
20120201121380,5
20150403150797,4
20160808160554,4
20140909141024,5
20180303180036,1
20110907112272,5
20140302141120,5
20160807160688,5
20180302181447,5
20090706091704,5
20120201121447,5
20140807140034,4
20071009070755,5
20071110070115,5
20180112171818,5
20130504131643,4
20100706101584,4
20150706151821,4
20070402070134,6
20171008170744,5
20140101140028,2
20031211032827,5
20120101121101,6
20150807150604,4
20070403070571,6
20030302031095,4
20030403033496,5
20080403080716,1
20041210040801,5
20150606151916,1
20140504141525,4
20120707121004,3
20091211092356,2
20040112033023,6
20120706122142,5
20090706091562,5
20140908141636,5
20111212110734,4
20120605122282,4
20140604141653,4
20140908142111,1
20070908071179,3
20160706162103,5
20140808140104,5
20110201111900,4
20080302081988,1
20100504100906,4
20070503071748,1
20050101051853,4
20141211141571,3
20111009112337,5
20060403061446,4
20100605100916,5
20120807120001,4
20100605102325,6
20070302071274,5
20030808032269,4
20121211121874,4
20140403141567,1
20040605041801,3
20060403060610,5
20061209061942,5
20060605061358,5
20060201062565,4
20071010070542,4
20070302071833,5
20050302050560,5
20140706140818,6
20090403091976,5
20051211052313,4
20070504072362,5
20150403151570,5
20090112080748,5
