ID,lcs_cluster
20060302062260,1
20070302072279,1
20060706061437,1
20150302151445,3
20150807150502,1
20090112082296,3
20130403132229,3
20050403051259,2
20101109101751,3
20120908120030,3
20170907170582,3
20130402131403,3
20070101071197,1
20161009160020,3
20130302130912,2
20090303092260,1
20101110102274,3
20040504041053,1
20031211031804,1
20131212132370,1
20150302152072,1
20150606152383,3
20040403040048,3
20180302181597,3
20090806091539,3
20171211171192,1
20110807111955,3
20140301141389,1
20081009081028,3
20120112111767,1
20050908050707,2
20031110032672,1
20170807170036,3
20151211151594,3
20181212182254,3
20081110081629,1
20110808110145,3
20080807081579,1
20050402051006,3
20170807171809,3
20080504081233,1
20120112110820,1
20170112161127,3
20101110100845,1
20140201141873,2
20091110092459,1
20090605090934,3
20061211060530,1
20100605100650,1
20130805132311,1
20100706102259,1
20061009060003,1
20170404170974,3
20081009080502,1
20170807171963,1
20070908072316,1
20130807131215,1
20140706142008,1
20180706181087,1
20120908121992,3
20100403100712,1
20100201101615,1
20050201050035,1
20150707151067,1
20140201142066,3
20100112091702,3
20131009131076,3
20140112131974,1
20060605061440,1
20051211050007,3
20170404171389,1
20071110071933,3
20160909161030,1
20131110131181,1
20050808052158,1
20121010122427,3
20130706131262,1
20081110081365,3
20070403072449,3
20110302112096,3
20070605072594,3
20160112152086,1
20081009080643,1
20170101170806,1
20121211122331,1
20161210160658,1
20030302031896,1
20041008041003,1
20121009120898,2
20080908081609,1
20060504060979,3
20160403160786,1
20120201121380,1
20150403150797,3
20160808160554,3
20140909141024,1
20180303180036,2
20110907112272,1
20140302141120,1
20160807160688,1
20180302181447,1
20090706091704,1
20120201121447,1
20140807140034,3
20071009070755,1
20071110070115,1
20180112171818,1
20130504131643,3
20100706101584,3
20150706151821,3
20070402070134,1
20171008170744,1
20140101140028,3
20031211032827,1
20120101121101,1
20150807150604,3
20070403070571,1
20030302031095,3
20030403033496,1
20080403080716,2
20041210040801,1
20150606151916,2
20140504141525,3
20120707121004,3
20091211092356,3
20040112033023,1
20120706122142,1
20090706091562,1
20140908141636,3
20111212110734,3
20120605122282,3
20140604141653,3
20140908142111,2
20070908071179,3
20160706162103,1
20140808140104,1
20110201111900,3
20080302081988,2
20100504100906,3
20070503071748,2
20050101051853,3
20141211141571,3
20111009112337,1
20060403061446,3
20100605100916,1
20120807120001,3
