ID,cluster
20050112042460,4
20150807151287,1
20031110031627,4
20150403151566,4
20160604160548,1
20170505170606,4
20071110072258,4
20110402111237,4
20140302141299,1
20180302180141,4
20170504170705,4
20170201170131,4
20161110161852,1
20120706122139,1
20061110061454,2
20110302112175,1
20060706061779,4
20091010091564,1
20160504160904,1
20160303161014,4
20050403050115,3
20030907032111,2
20071110072127,1
20050504052176,1
20101211100057,1
20130705130669,4
20160404161130,1
20130403131133,1
20090908090521,4
20170403172251,1
20060101061740,1
20081211082239,4
20061010061535,4
20150706152188,4
20140909142134,1
20101110101414,1
20130807130739,1
20151111151670,4
20161009161092,3
20110101111334,4
20140201141537,4
20121212121231,1
20160503161356,4
20150112142477,1
20060504061521,1
20051009050083,1
20150302150547,4
20050908052284,1
20080807081266,4
20101009102059,4
20120302120510,4
20180907180678,4
20070908071966,1
20161211161363,4
20040403040836,4
20161110160526,4
20031009032623,1
20070807071331,4
20100908102083,3
20081211081594,1
20070201071112,4
20101010100876,4
20161109161914,3
20130605132446,1
20060705061704,4
20181211182260,4
20161009160702,4
20071211071383,4
20170403170610,4
20040806042546,1
20031110030102,1
20090402091142,4
20130908132074,1
20151110152172,1
20071009071916,1
20100605101936,1
20170504171018,1
20070908072321,4
20100504101701,1
20070807070726,4
20160112151849,4
20140907141340,4
20170706172474,1
20040201041653,4
20080908082447,4
20121008122515,1
20050403051803,4
20050706051449,1
20081211081362,4
20091110091834,2
20060402062433,1
20070303071714,4
20110403110714,4
20040705041842,4
20030706031867,1
20130111120738,4
20131211130744,1
20131009131576,4
20120201120762,4
20050707050642,4
20120112112303,1
20070908071141,4
20101009101760,4
20110504112162,4
20120806121124,2
20100302100994,4
20041212042149,1
20120907121839,1
20091211092095,4
20040605042162,1
20160706160947,4
20110605111654,1
20180403181079,1
20031110032113,4
20070808072001,1
20161009160755,3
20100604100100,4
20150504152136,3
20140605142076,2
20070202072346,1
20081109081680,4
20160504161918,1
20110403112362,1
20050807051707,4
20050706050612,4
20081212080149,1
20090907090643,4
20090403092140,1
20130302130501,1
20061109061176,4
20160707162044,1
20150302151345,1
20130504131694,1
20110807110555,4
20180605182458,1
20180302180141,4
20130908131014,1
20080112070161,4
20120505120079,4
20070908071365,4
20131110131805,1
20150505151330,1
20150706152156,1
20080404080133,1
20031211032421,4
20050504051509,4
20140909142446,1
20040302042064,4
20040503041879,1
20080706080852,4
20171010172139,4
20131008131957,2
20161210162466,4
20051111050649,1
20110504111980,4
20171211172151,3
20100301101634,4
20070101070048,4
20030111020890,4
20081110082078,4
20170302172280,1
20120302120987,1
20170504172045,4
20070807072056,1
20150807150783,1
20180212170905,1
20120212111485,4
20110112100039,1
20090908090542,1
20111211111985,4
20100605100820,1
20070302070565,1
20070707070847,1
20180503181607,4
20150605150023,4
20151211150126,1
20171211172212,1
20150807150868,1
20170604171395,4
20030403031874,4
20150101151291,1
20130101131043,4
20071010070050,1
20120605121418,2
20181110181607,4
20090201092345,1
20080907081512,4
20101009102059,4
20181110181251,4
20070605071808,4
20120807122375,4
20060606060085,4
20101211101650,4
20140908141377,1
20130404130129,1
20071009071234,3
20080606081990,1
20181010180022,1
20170604171872,1
20040302042054,4
20140504141295,1
20050707052056,1
20070111061840,1
20040111033136,1
20060807061126,1
20140403141096,4
20170807171845,1
20080403082304,4
20140504142359,2
20060111050737,4
20131110132071,4
20140303141371,1
20091009092125,1
20130605131345,4
20121109121442,2
20161110160851,1
20120201121760,1
20170112161216,1
20040808042100,1
20051210052387,4
20070101072198,1
20130808132086,2
20140606141929,1
20060403061416,4
20140503140761,1
20150605151690,1
20120908122019,1
20180807180642,1
20151211151198,4
20041212041876,1
20080112071525,4
20060201062510,4
20080302082043,3
20150706152217,4
20121110122394,1
20150402152307,1
20091109091889,1
20110807112071,1
20150302150912,1
20101009101767,2
20050302052491,3
20090808090892,1
20060112052482,4
20061211061136,4
20060908062210,4
20071109072158,1
20060302062221,1
20030807032362,2
20061211061200,1
20101009101346,1
20160201162389,1
20160807161770,1
20100604101660,1
20070706070765,4
20090808090162,1
20091009092364,3
20180909181180,4
20181110182154,1
20160403160604,1
20080504080638,1
20130807132096,1
20110706112238,1
20170504172484,2
20050706050893,4
20170201170785,4
20050212041470,1
20181010181533,1
20061108061041,4
20150908150959,2
20140202140830,4
20070808070965,4
20120201120502,4
20130605131950,4
20101110101715,1
20110908111584,4
20060504060730,1
20181110180529,1
20180201180594,1
20170807170670,1
20130606131929,4
20090606091798,1
20180806181793,4
20120201121586,4
20161211162288,3
20161009160848,2
20070402071172,2
20171008171778,4
20120101120508,4
20180112170867,1
20061008062376,2
20070101071377,4
20040806040063,4
20101009100902,4
20181211181697,1
20170806171919,1
20101211101632,1
20170112160895,1
20110605111089,4
20170705171064,4
20091009091081,1
20170706172404,1
20040908041196,1
20060504062530,1
20070403070893,2
20150807151286,4
20050807051257,1
20030201032115,4
20150202152212,4
20030100015986,1
20160201161654,1
20061009060767,1
20120504120982,4
20111110110586,3
20090504092480,1
20100403102320,4
20170112161682,1
20101110101033,4
20060908061318,4
20180605180549,4
20170504172383,4
20150707151030,4
20150201152015,4
20161109162049,4
20070807072072,1
20080302081226,4
