ID,osa_cluster
20060302062260,3
20070302072279,3
20060706061437,3
20150302151445,2
20150807150502,3
20090112082296,2
20130403132229,2
20050403051259,1
20101109101751,2
20120908120030,2
20170907170582,2
20130402131403,2
20070101071197,3
20161009160020,2
20130302130912,2
20090303092260,3
20101110102274,2
20040504041053,3
20031211031804,3
20131212132370,3
20150302152072,4
20150606152383,2
20040403040048,2
20180302181597,2
20090806091539,2
20171211171192,3
20110807111955,2
20140301141389,3
20081009081028,2
20120112111767,3
20050908050707,1
20031110032672,3
20170807170036,2
20151211151594,2
20181212182254,2
20081110081629,3
20110808110145,2
20080807081579,3
20050402051006,2
20170807171809,2
20080504081233,3
20120112110820,3
20170112161127,2
20101110100845,3
20140201141873,1
20091110092459,2
20090605090934,2
20061211060530,3
20100605100650,3
20130805132311,3
20100706102259,3
20061009060003,3
20170404170974,2
20081009080502,3
20170807171963,4
20070908072316,3
20130807131215,3
20140706142008,3
20180706181087,3
20120908121992,2
20100403100712,3
20100201101615,3
20050201050035,4
20150707151067,3
20140201142066,2
20100112091702,2
20131009131076,2
20140112131974,3
20060605061440,3
20051211050007,2
20170404171389,3
20071110071933,2
20160909161030,4
20131110131181,2
20050808052158,4
20121010122427,2
20130706131262,3
20081110081365,2
20070403072449,2
20110302112096,2
20070605072594,2
20160112152086,4
20081009080643,3
20170101170806,3
20121211122331,3
20161210160658,3
20030302031896,3
20041008041003,3
20121009120898,1
20080908081609,3
20060504060979,2
20160403160786,3
20120201121380,3
20150403150797,2
20160808160554,2
20140909141024,3
20180303180036,1
20110907112272,3
20140302141120,3
20160807160688,3
20180302181447,3
20090706091704,4
20120201121447,3
20140807140034,2
20071009070755,3
20071110070115,3
20180112171818,3
20130504131643,2
20100706101584,2
20150706151821,2
20070402070134,4
20171008170744,3
20140101140028,2
20031211032827,3
20120101121101,4
20150807150604,2
20070403070571,4
20030302031095,2
20030403033496,3
20080403080716,1
20041210040801,3
20150606151916,1
20140504141525,2
20120707121004,2
20091211092356,2
20040112033023,4
20120706122142,3
20090706091562,3
20140908141636,2
20111212110734,2
20120605122282,2
20140604141653,2
20140908142111,1
20070908071179,2
20160706162103,3
20140808140104,3
20110201111900,2
20080302081988,1
20100504100906,2
20070503071748,1
20050101051853,2
20141211141571,2
20111009112337,3
20060403061446,2
20100605100916,3
20120807120001,2
20100605102325,4
20070302071274,3
20030808032269,2
20121211121874,2
20140403141567,1
20040605041801,2
20060403060610,3
20061209061942,3
20060605061358,3
20060201062565,2
20071010070542,2
20070302071833,3
20050302050560,3
20140706140818,4
20090403091976,3
20051211052313,2
20070504072362,3
20150403151570,3
20090112080748,3
20050807052491,3
20050807052510,3
20121110120538,3
20080605081165,2
20030112022442,1
20060302062018,2
20080707081887,2
20081009081434,3
20050908050875,2
20130201130890,2
20060807061663,3
20110606111696,2
20160403161876,3
20171211172462,2
20101110101087,3
20040605042190,2
20050806052039,2
20181211180506,3
20060707062461,3
20091010091602,2
20040302041703,2
20061110062251,1
20091009091604,3
20180605181201,2
20080807081473,3
20040302041774,3
20151109152083,3
20180503180870,2
20170112161291,2
20070302071220,3
20050201051566,2
20110808111417,2
20090707091395,2
20160605160949,3
20100807102538,3
20141211140560,3
20110112101252,4
20100605101838,2
20160212152404,2
20070302070948,3
20040112032373,3
20141210141295,3
20120403122174,2
20080909082417,2
20150302152210,3
20120403121822,3
20080212070803,3
20080605080920,2
20171211171412,3
20090504091986,2
20170806172378,2
20070706071913,3
20041010042532,2
20130706131304,2
20101009102047,3
20141009142313,2
20031211030130,2
20180112171069,3
20050112041993,2
20180403182015,3
20050806052195,3
20080706081681,3
20131109131044,3
20090112081901,4
20031210033228,3
20040706042320,1
20090302091932,3
20060807060816,2
20050604052327,2
20160302162036,2
20080403081686,3
20030605033656,3
20130505130881,2
20161010161329,1
20081007082189,3
20150112141613,3
20181212182252,3
20060403060582,1
20080403081875,3
20050807050528,2
20050807050799,2
20050201051950,2
20140605141290,2
20090212080796,2
20171009170511,3
20140504140547,3
20071211070901,2
20181110181910,2
20050807050548,3
20080907080666,3
20121211120903,2
20171109172397,2
20140806141286,2
20101111102402,2
20070403071062,3
20040707042531,2
20110807111507,2
20041211041549,2
20040807041518,2
20060111051175,2
20160302160643,2
20120806122196,2
20180907180077,3
20060807060818,2
20030302031407,2
20120212110921,1
20110403110516,2
20151009151877,3
20171110171807,3
20060705062552,2
20101110101655,2
20090504091337,2
20100403101977,3
20160807161718,2
20050112041352,4
20080112070719,1
20161211161105,3
20101008101039,1
20080504081948,3
20090404091875,2
20161009160541,3
20170605170113,2
20161110161593,3
20100807102343,3
20050504051948,2
20030402031232,2
20080505081130,3
20160504160709,2
20180605180764,3
20050302051718,2
20110101112180,2
20090302092212,3
20101211101984,2
20060112052142,1
20120403122211,3
20030706031160,3
20160807160571,2
20120201121422,2
20060807061691,3
20070403072094,3
20030908032434,3
20110111102446,3
20170201171743,3
20070201072232,3
20181111181456,2
20130807131244,3
20120909121705,2
20160403161818,3
20110706111130,2
20080605081526,2
20141110141966,2
20100302102205,2
20091009091576,2
20170605171207,2
20040706040054,4
20120706122037,2
20030112023232,1
20170907170750,3
20110706110043,2
20101211101595,2
20130705131073,3
20080605082461,2
20060112051675,3
20130807130544,4
20090807092125,3
20070402070739,2
20060201060532,3
20100908102388,2
20030112021777,3
20130503130754,3
20140908140530,2
20160505161134,3
20120808122488,2
20031009030892,2
20160807160056,2
20110908112056,2
20131009132325,3
20100908101130,3
20180807181042,3
20181009181309,3
20140706140851,2
20130212120510,2
20100807102138,2
20150807151152,3
20091009090795,4
20050201050765,3
20081110080021,3
20060906060647,3
20171008171037,3
20051009051905,3
20080401080510,1
20140302142027,3
20160605160559,2
20160605161999,4
20131210130542,1
20150807150645,2
20090706091053,3
20180705182426,2
20110605111916,2
20181009181458,3
20161009161518,2
20110505110041,1
20150112140794,3
20170403170632,2
20180808180802,4
20131110130701,4
20171010171949,2
20040906041316,2
20070908071598,3
20040303041367,1
20140706141394,2
20080201080985,4
20111211111429,3
20091009090852,2
20121211121992,2
20110112101046,1
20071211071968,3
20140908142073,2
20091009092372,3
20161110161235,1
20041009041590,2
20160908160510,2
20141009141478,2
20081008080866,2
20110504110527,3
20080705081337,3
20051211050793,2
20060403061662,3
20111010111685,2
20040806041810,2
20050505051212,3
20160605162494,3
20150706151028,2
20090302091276,2
20131110131968,2
20090402091867,3
20030112021005,3
20080706082347,2
20080302081874,2
20040908041718,1
20180706181121,2
20030908031701,3
20081009082282,2
20141110142514,2
20121212121270,2
20170503171349,3
20081110081333,4
20060302060083,3
20091211091919,3
20150808150652,2
20031009030593,3
20171009171581,3
20170908172505,3
20120705121282,2
20110403112031,2
20040605041803,2
20160302160987,2
20060101061781,3
20170605171463,2
20090112082474,2
20160403160782,3
20170808171095,1
20180101180897,3
20120807121734,2
20130403130767,3
20150403150155,2
20180705181470,3
20091111090948,1
20060807061140,2
20071009072528,3
20110605111578,2
20140604140609,4
20121010122450,2
20040302042478,2
20050201050015,2
20111110110779,4
20131211132170,3
20060908062241,2
20030908032124,3
20050302051598,3
20051110050598,4
20180503181205,3
20090302090139,2
20060504060080,2
20080808082247,2
20110908110924,3
20140603142334,3
20030604031179,2
20071110072192,3
20030201032254,1
20160807161159,2
20041110041185,2
20101110101528,2
20120403120589,2
20170807172504,2
20130201131816,2
20040403040070,2
20101009101933,2
20090302092357,2
20110908110511,2
20110403111399,2
20030403031280,1
20081008082078,1
20050112042533,3
20101110101306,3
20100112092411,4
20040909040983,2
20180201180778,3
20120605120857,3
20111211110523,2
20170706171790,2
20121009120857,2
20181110182062,2
20030605033634,3
20180302181274,3
20130706130794,2
20040301041815,2
20141211141066,2
20150404151136,2
20150112140694,3
20171009172119,1
20170111161705,2
20150908150959,1
20180403181318,2
20150504152151,2
20150301152451,2
20150605152253,2
20100807101001,3
20120807121959,2
20140504142415,2
20120706121292,3
20080504082482,3
20111010111139,2
20180707180873,3
20100604100875,1
20040201042075,2
20040504042159,3
20050302052157,3
20030706030863,2
20040605041806,3
20180807180931,2
20070302070699,3
20030503031373,3
20170908172424,2
20031109033416,1
20141008141756,2
20131211131178,2
20120505121702,2
20081211081443,2
20050908051575,2
20050201051849,1
20120101120757,2
20060807062198,2
20140706141427,3
20170201170148,4
20121211120771,2
20121010122467,2
20070111060781,4
20060707062515,2
20071009072527,2
20160404160897,2
20151211151067,4
20060201061263,3
20170706171426,4
20110808112167,3
20150707151146,3
20061211061778,3
20130201130547,2
20110706110737,2
20101009102005,2
20180706180112,2
20130504132424,3
20110706111356,3
20050908052450,3
20180112170705,2
20041110041652,4
20180112171638,1
20050707052548,3
20110403112064,2
20090504091285,2
20161211161441,2
20131009131015,3
20130302132173,2
20110706111132,2
20181111181840,3
20080909082173,3
20050706051982,3
20180807181242,3
20130909130043,3
20121211122218,2
20050403051561,3
20030302031539,2
20040302041480,2
20140908141465,3
20130111121500,2
20180504181223,1
20090504090802,3
20160403160011,3
20060908061677,4
20121010122337,2
20070504072129,3
20061008061093,2
20100605101299,2
20050404052060,3
20060303062091,2
20041009040847,3
20140403141896,2
20161110161298,3
20110806111655,2
20140402140666,3
20031110032024,2
20180201180698,4
20030111022693,3
20050808051297,2
20100605101589,3
20050404051395,1
20070112061226,2
20160808161922,3
20180806180730,2
20170707170576,2
20111211110891,3
20030504031729,2
20070706070059,2
20100403101251,4
20040605041745,2
20110201111877,3
20110301110844,3
20140101142043,3
20120403120576,2
20160403161381,3
20030908032130,3
20111009112489,3
20030605031497,2
20090706091794,3
20140807142177,2
20100909100865,2
20090807092179,2
20170111161256,1
20100605102027,3
20100403101805,3
20041111041520,3
20090707091142,2
20170605172097,2
20091211092413,3
20160605161132,2
20110503112004,3
20150301151380,2
20141211141022,1
20170404170832,2
20161110161657,2
20101211100579,2
20100402100781,1
20111211111423,3
20041008041014,3
20150302150866,1
20051010051240,3
20120706121897,3
20171009171650,3
20060302060909,3
20091110090669,3
20090605092386,3
20171009171320,2
20081211080009,3
20150503150931,3
20050504050745,3
20180112170676,3
20030201033017,2
20150908151756,3
20150403152187,3
20170807170665,3
20050302051194,2
20140403140801,3
20041009041176,2
20160808160754,2
20140402140604,2
20070503072436,3
20070807071500,3
20101009101003,4
20071110071713,1
20140807141041,3
20100302101526,3
20160301162488,2
20121109121486,3
20080504081761,2
20170504171237,3
20111110110657,2
20030202030506,2
20071009071831,2
20051110052378,3
20160302162049,3
20080605080527,2
20091009092255,3
20110604111482,2
20171110171129,2
20180112170087,2
20040907042335,1
20150504151113,3
20090908091340,2
20140201140903,2
20080909082345,2
20031009031008,2
20060401060822,2
20061010061977,1
20160202162020,2
20040111031711,3
20180202182185,2
20040101040534,2
20041009041606,3
20180212171949,3
20110505111132,2
20090403090886,1
20061110060688,2
20070908071320,4
20081010080131,2
20160403161808,2
20080807080647,3
20031110031555,2
20121009120555,2
20110908110771,2
20150504151888,2
20030909033651,3
20120404121319,2
20030906030873,3
20100707101379,2
20120504122066,4
20150807151099,2
20070605070530,2
20030807030928,3
20031009032808,4
20120908120667,3
20180302182281,2
20100201101183,2
20140807141911,2
20041111041964,3
20170706170898,2
20160706160122,2
20100808100825,3
20060201060961,1
20180112171344,3
20050504051614,3
20131110130613,2
20100201100866,2
20050201051197,2
20071009070705,2
20090301091303,4
20061010060716,2
20131109132257,2
20120112112207,3
20140909141998,2
20170907170139,3
20050111041043,2
20140302141176,3
20110403110727,3
20160504161249,3
20160402160144,3
20060302062225,2
20150706151980,2
20150403150021,2
20050201052125,2
20051110051627,2
20170112160573,2
20140605141002,2
20030402033057,3
20110706110652,2
20141009141232,3
20170908172098,3
20050807051667,3
20170605170875,3
20071111070755,4
20140112130545,2
20030403033412,2
20140908141472,3
20150112140002,3
20100706101475,4
20081211082313,4
20130112120052,2
20080605080614,2
20040403041180,2
20051110052275,2
20080112070633,2
20140605140651,2
20061009060807,1
20120303120815,2
20070111062096,2
20131110131029,2
20041111040100,2
20050605052413,3
20180909181902,2
20150706152239,2
20151210150845,2
20120706121816,1
20070808072090,3
20070201071416,4
20050201051281,1
20180504182505,2
20060706060880,2
20031010032100,3
20110302110511,2
20110808112197,3
20110302111523,3
20121010121638,2
20120706120794,2
20151008151955,3
20120302122540,3
20160908161751,3
20090112082038,2
20100907100921,2
20090807091243,2
20110504111643,3
20031008032448,3
20160504162422,4
20120908122509,1
20051211052141,4
20120706121063,2
20140403140668,3
20050301050661,1
20120302121834,3
20161211161986,2
20080111070616,3
20180908181414,2
20070907070988,3
20130807131442,3
20081211082364,3
20121009122097,3
20130706130823,2
20130302130918,3
20080201080568,2
20050112042004,2
20170302171198,3
20170505171617,2
20061009060537,2
20120604120848,2
20070302071671,3
20130908132184,2
20150605150881,3
20091111091863,2
20150706152392,1
20040906041109,3
20110504110630,4
20100112092076,2
20161110161805,2
20170806170830,3
20090808091279,3
20060112051045,3
20030403030064,2
20170706172520,4
20180604180844,2
20181110181521,2
20181110181766,2
20170605171852,2
20081212081280,3
20030807030533,3
20160503160864,2
20060403061330,2
20111110112197,3
20090112081889,3
20110302111888,2
20160302161904,3
20070403072213,2
20090505091994,2
20060302062520,3
20150707151313,3
20120402121881,3
20151211150018,2
20111111112437,3
20040605040773,3
20051211051503,3
20031010031936,2
20030201030827,3
20090705090835,3
20150908151684,3
20070605070672,3
20070101071368,2
20150101150018,2
20031211030680,3
20041211042499,3
20150403152199,3
20091009090872,3
20090302091368,2
20150201150803,2
20051009050048,3
20110112101235,2
20180504181148,2
20110212102287,3
20051009052348,3
20090101090755,3
20090605090966,3
20170112161138,3
20160908161527,3
20080706081706,2
